# DocType labels and descriptions (no quotes - no commas in texts)
'Sellings Settings > Default Customer Group' will be used if this is not set.,'Vertriebseinstellungen > Standardkundengruppe' wird verwendet wenn nicht gesetzt.,
'Stock Settings > Default Item Group' will be used if this is not set.,'Lager-Einstellungen > Standard-Artikelgruppe' wird verwendet wenn nicht gesetzt.,
'System Settings > Language' will be used if this is not set.,'Systemverwaltung > Sprache' wird verwendet wenn nicht gesetzt.,
Access Token,Access-Token,
Active,Aktiv,
API Credentials,API-Anmeldedaten,
Bank Account for digital sales,Konto für digitale Verkäufe,
Bank Account for physical sales,Konto für physische Verkäufe,
Can also be defined per Listing,Kann auch pro Listing definiert werden,
Code Verifier,Code-Verifier,
Company,Unternehmen,
Connected,Verbunden,
Connection,Verbindung,
Customer Group,Kundengruppe,
Customer Naming Series,Kundennummernkreis,
Customer Settings,Kundeneinstellungen,
Default Unit of Measure,Standardmaßeinheit,
Description,Beschreibung,
Disconnected,Nicht verbunden,
Draft,Entwurf,
Edit,Bearbeiten,
Enable Synchronisation,Synchronisation aktivieren,
ERP Settings,ERP-Einstellungen,
Etsy Customer ID,Etsy Kundennummer,
Etsy Listing,Etsy-Listing,
Etsy Order ID,Etsy Bestellnummer,
Etsy Product ID,Etsy Artikelnummer,
Etsy Property ID,Etsy Eigenschaftsnummer,
Etsy Settings,Etsy-Einstellungen,
Etsy Shop ID,Etsy Shop-ID,
Etsy Shop,Etsy-Shop,
Etsy User ID,Etsy Benutzer-ID,
Expired,Abgelaufen,
Expires At,Läuft ab am,
Expires In,Läuft ab in,
Image,Bild,
in hours. Range: [1-24].\nSet to 0 to disable Sync.,in Stunden. Bereich: [1-24].\nAuf 0 setzen um Synchronisation zu deaktivieren.,
in minutes. Range: [1-60].\nSet to 0 to disable Sync.,in Minuten. Bereich: [1-60].\nAuf 0 setzen um Synchronisation zu deaktivieren.,
Inactive,Inaktiv,
Item - Synchronisation,Artikel-Synchronisation,
Item Group,Artikelgruppe,
Item Name,Artikelname,
Item Settings,Artikeleinstellungen,
Item,Artikel,
Language,Sprache,
Last Sync,Letzte Synchronisation,
Likes,Likes,
Listing ID,Listing-ID,
Maintain Stock,Lager verwalten,
Naming Series for new Customers created by Etsy Integration.\nUse {ETSY_BUYER_ID} as placeholder for Etsy's Buyer ID.\nERPNext standards for Naming Series like 'Etsy-.YYYY.-{ETSY_BUYER_ID}' can be used. Leave blank to use the default Naming Series of Customer Doctype.,Nummernkreis für neue Kunden die durch die Etsy-Integration erstellt werden.\nVerwenden Sie {ETSY_BUYER_ID} als Platzhalter für Etsys Käufer-ID.\nERPNext-Standards für Nummernkreise wie 'Etsy-.YYYY.-{ETSY_BUYER_ID}' können verwendet werden. Leer lassen um den Standard-Nummernkreis des Kunden-DocType zu verwenden.,
Naming Series for new Sales Invoices created by Etsy Integration.\nUse {ETSY_ORDER_ID} as placeholder for Etsy's Order ID.\nERPNext standards for Naming Series like 'Etsy-.YYYY.-{ETSY_ORDER_ID}' can be used. Leave blank to use the default Naming Series of Sales Invoice Doctype.,Nummernkreis für neue Ausgangsrechnungen die durch die Etsy-Integration erstellt werden.\nVerwenden Sie {ETSY_ORDER_ID} als Platzhalter für Etsys Bestell-ID.\nERPNext-Standards für Nummernkreise wie 'Etsy-.YYYY.-{ETSY_ORDER_ID}' können verwendet werden. Leer lassen um den Standard-Nummernkreis des Ausgangsrechnung-DocType zu verwenden.,
