"source_string","translated_string","context"
"Login with {} on Etsy","Mit {} bei Etsy anmelden",""
"Please save before logging in!","Bitte speichern Sie vor der Anmeldung!",""
"Etsy Listings","Etsy-Listings",""
"Etsy Listing State","Etsy-Listing Status",""
"Listings with the selected state will be imported or updated.","Listings mit dem ausgewählten Status werden importiert oder aktualisiert.",""
"Include Attributes","Attribute einbeziehen",""
"Also create or update Item Attributes of the selected Listings.","Artikelattribute der ausgewählten Listings ebenfalls erstellen oder aktualisieren.",""
"Include Items","Artikel einbeziehen",""
"Also create or update Items & Variants of the selected Listings.","Artikel & Varianten der ausgewählten Listings ebenfalls erstellen oder aktualisieren.",""
"Listing import has been queued.","Listingimport wurde gestartet.",""
"Failed to queue listing import!","Listingimport konnte nicht gestartet werden!",""
"Import Etsy Listings","Etsy-Listings importieren",""
"Import","Importieren",""
"Sales History","Verkaufsverlauf",""
"From","Von","date"
"To","Bis","date"
"From date must be before To date!","Das Von-Datum muss vor dem Bis-Datum liegen!",""
"Sales import has been queued.","Verkaufsimport wurde gestartet.",""
"Failed to queue sales import!","Verkaufsimport konnte nicht gestartet werden!",""
"Import Sales History","Verkaufsverlauf importieren",""
"Disconnect","Verbindung trennen",""
"Are you sure you want to proceed?","Sind Sie sicher, dass Sie fortfahren möchten?",""
"You will need to login again with '{}' before next use!","Sie müssen sich vor der nächsten Verwendung erneut mit '{}' anmelden!",""
"Synchronisation is not enabled! 'Etsy Settings > Enable Synchronisation'","Synchronisation ist nicht aktiviert! 'Etsy-Einstellungen > Synchronisation aktivieren'",""
"It is not recommended to add new customers by name! 'Selling Settings > Customer Naming By' - using 'Naming Series' is preferred.","Es wird nicht empfohlen, neue Kunden nach Namen hinzuzufügen! 'Verkaufseinstellungen > Kundenbenennung' - die Verwendung von 'Namensserie' wird bevorzugt.",""
"CLIENT_ID is mandatory!","CLIENT_ID ist erforderlich!",""
"CLIENT_SECRET is mandatory!","CLIENT_SECRET ist erforderlich!",""
"'listing_state' must be one of: {0}","'listing_state' muss einer der folgenden sein: {0}",""
"Etsy listing import completed for {0}.","Etsy-Listingsimport abgeschlossen für {0}.",""
"Etsy sales import completed for {0}.","Etsy-Verkaufsimport abgeschlossen für {0}.",""
"Invalid Parameters.","Ungültige Parameter.",""
"Invalid token state! Check if the token has been created by the OAuth flow.","Ungültiger Token-Status! Prüfen Sie, ob der Token durch den OAuth-Flow erstellt wurde.",""
